SNR_noisy,SNR_enhanced,SNR_improvement,SI-SDR_noisy,SI-SDR_enhanced,SI-SDR_improvement,PESQ_noisy,PESQ_enhanced,PESQ_improvement,STOI_noisy,STOI_enhanced,STOI_improvement,filename
19.06891853845004,21.565922236609598,2.49700369815956,19.951650237412586,21.621852056507457,1.6702018190948706,1.3604377508163452,2.096959114074707,0.7365213632583618,0.808785976210593,0.806272055389863,-0.002513920820729987,test_000000_VIVOSSPK02_T025.wav
8.429484108318753,10.763173801889483,2.3336896935707294,7.837079315911177,10.64222189243911,2.805142576527933,1.2693064212799072,1.5299506187438965,0.26064419746398926,0.8940062641627523,0.9133547989786104,0.019348534815858076,test_000001_VIVOSSPK19_107.wav
7.778713967992822,15.510604641578995,7.731890673586173,7.205268299244597,15.396746144324126,8.191477845079529,1.1719424724578857,2.022034168243408,0.8500916957855225,0.8280915527427224,0.9165274108339028,0.08843585809118037,test_000002_VIVOSSPK11_T026.wav
12.4340090517898,15.19461097909501,2.76060192730521,13.528831285403482,16.590223521885342,3.0613922364818595,2.6055212020874023,2.764631986618042,0.15911078453063965,0.9884702792241604,0.9888806701326021,0.00041039090844163795,test_000003_VIVOSSPK29_166.wav
10.274740339379658,16.400797359398307,6.126057020018649,9.873080940044524,16.320913731748814,6.44783279170429,1.10370934009552,1.6902079582214355,0.5864986181259155,0.8363571060449824,0.9132695897974905,0.07691248375250814,test_000004_VIVOSSPK07_R147.wav
0.9611438267608946,7.55530413736309,6.594160310602196,-0.09309942173923236,7.104653923992568,7.1977533457318,1.0394196510314941,1.2556798458099365,0.21626019477844238,0.6727970744844612,0.8143592825212205,0.14156220803675923,test_000005_VIVOSSPK42_224.wav
11.090739633954676,14.820363185733305,3.7296235517786283,10.784253697650643,14.911504597853396,4.127250900202753,2.0613670349121094,2.354654550552368,0.2932875156402588,0.9829372876845979,0.9795980956814605,-0.00333919200313737,test_000006_VIVOSDEV12_271.wav
9.764848344554723,14.40625498243601,4.641406637881287,9.48076313578074,14.296572397984699,4.81580926220396,1.1956169605255127,2.068202018737793,0.8725850582122803,0.8761476044041162,0.9316461495687886,0.05549854516467234,test_000007_VIVOSSPK29_007.wav
15.36786197126098,18.743430186265044,3.375568215004064,15.25547522427097,19.034143448816895,3.7786682245459247,1.784362554550171,2.6229817867279053,0.8386192321777344,0.8637096220897751,0.8428651954588673,-0.020844426630907797,test_000008_VIVOSSPK06_T031.wav
5.624609554218891,10.690995459021215,5.066385904802324,4.248438399358967,11.80944613213706,7.5610077327780925,1.1810203790664673,1.6760566234588623,0.495036244392395,0.7858717933479806,0.8682490398072474,0.0823772464592668,test_000009_VIVOSSPK46_134.wav
