epoch,loss,lr,val_loss
0,-8.756828308105469,0.001,-10.514404296875
1,-11.167041778564453,0.001,-11.169760704040527
2,-11.645432472229004,0.001,-11.448674201965332
3,-11.91659164428711,0.001,-11.665660858154297
4,-12.138808250427246,0.001,-11.82606029510498
5,-12.291070938110352,0.001,-11.88357925415039
0,-8.756828308105469,-10.514404296875
1,-11.167041778564453,-11.169760704040527
2,-11.645432472229004,-11.448674201965332
3,-11.91659164428711,-11.665660858154297
4,-12.138808250427246,-11.82606029510498
5,-12.291070938110352,-11.88357925415039
6,-12.450328826904297,-11.913698196411133
7,-12.585443496704102,-12.18135929107666
8,-12.70504093170166,-12.301910400390625
9,-12.802519798278809,-12.168046951293945
10,-12.910611152648926,-12.189107894897461
11,-13.013028144836426,-12.349325180053711
12,-13.099059104919434,-12.334290504455566
13,-13.148286819458008,-12.458799362182617
14,-13.170291900634766,-12.440155982971191
15,-13.282655715942383,-12.429054260253906
16,-13.307762145996094,-12.547816276550293
17,-13.374201774597168,-12.39858341217041
18,-13.441242218017578,-12.581083297729492
19,-13.529987335205078,-12.556781768798828
20,-13.526942253112793,-12.57357406616211
21,-13.621633529663086,-12.616337776184082
22,-13.634403228759766,-12.580760955810547
23,-13.711976051330566,-12.51126766204834
24,-13.762877464294434,-12.525606155395508
25,-14.038101196289062,-12.837563514709473
26,-14.168377876281738,-12.826305389404297
27,-14.223461151123047,-12.885242462158203
28,-14.25654125213623,-12.82009506225586
29,-14.319657325744629,-12.787786483764648
30,-14.344026565551758,-12.721261024475098
31,-14.493962287902832,-12.833189010620117
32,-14.554740905761719,-12.874870300292969
33,-14.59731674194336,-12.875494003295898
34,-14.663826942443848,-12.870865821838379
35,-14.702299118041992,-12.890462875366211
36,-14.723469734191895,-12.822904586791992
37,-14.74659538269043,-12.836576461791992
38,-14.766279220581055,-12.86194896697998
39,-14.805747985839844,-12.847566604614258
40,-14.823474884033203,-12.83942985534668
41,-14.834948539733887,-12.8553466796875
42,-14.849041938781738,-12.85702896118164
43,-14.865972518920898,-12.850306510925293
44,-14.87054443359375,-12.843307495117188
45,-14.881073951721191,-12.857746124267578
